timestamp,followers
2026-08-13T10:44:26.696568+00:00,25665
2026-08-13T10:47:38.959222+00:00,25838
2026-08-13T10:49:04.890157+00:00,25919
2026-08-13T11:20:01.635045+00:00,27767
2026-08-13T12:22:46.177470+00:00,31673
2026-08-13T13:33:16.130481+00:00,37064
2026-08-13T14:31:03.335798+00:00,42650
2026-08-13T15:24:21.847562+00:00,47937
2026-08-13T16:21:48.331972+00:00,53753
2026-08-13T17:22:34.770329+00:00,57655
2026-08-13T18:23:14.178003+00:00,60083
2026-08-13T19:25:34.926309+00:00,61646
2026-08-13T20:15:17.971712+00:00,62616
2026-08-13T21:19:32.036829+00:00,63528
2026-08-13T22:18:09.303003+00:00,64391
2026-08-13T23:18:13.566761+00:00,65542
2026-08-14T00:31:38.151745+00:00,67690
2026-08-14T01:35:34.352102+00:00,69830
2026-08-14T02:58:35.219944+00:00,73060
2026-08-14T03:49:52.430408+00:00,75054
2026-08-14T04:37:53.647320+00:00,77021
2026-08-14T05:35:07.852628+00:00,79843
2026-08-14T06:35:35.576776+00:00,82880
2026-08-14T07:34:18.652113+00:00,85401
2026-08-14T08:32:39.430140+00:00,87548
2026-08-14T09:26:41.840177+00:00,89365
